restaurant,cuisine,stars,long,lat,lower_price,higher_price
La Rucola 2.0,Creative,1,10.6078237,45.4688494,94.5,115.5
Zur Rose,Classic Cuisine,1,11.2588126,46.4550916,67.2,120.75
Osteria Acquarol,Modern Cuisine,1,11.2574962,46.4567402,68.25,126.0
Esplanade,Modern Cuisine,1,10.5501255,45.4657159,94.5,136.5
La Tortuga,Classic Cuisine,1,10.6638829,45.6883602,105.0,126.0
Capriccio,Modern Cuisine,1,10.5679355,45.5444958,57.75,136.5
Lido 84,Creative,1,10.56535435700239,45.62347342765957,89.25,132.3
Zum Löwen,Creative,1,11.16979686797101,46.5626726,78.75,105.0
Al Gambero,Regional Cuisine,1,10.3436489,45.3503208,42.0,110.25
Prezioso,Modern Cuisine,1,11.1594185,46.6695547,136.5,136.5
Antica Corte Pallavicina,Country cooking,1,10.0881543,45.018108,89.25,189.0
Leon d'Oro,Modern Cuisine,1,10.2174131,45.2679989,52.5,126.0
Stube Hermitage,Creative,1,10.8241819,46.2200454,42.0,157.5
Sissi,Modern Cuisine,1,11.1594185,46.6695547,73.5,99.75
Huberwirt,Modern Cuisine,1,12.5966909,48.3065785,31.5,131.25
Dolomieu,Modern Cuisine,1,10.8241819,46.2200454,68.25,115.5
Il Gallo Cedrone,Creative,1,10.8255204,46.2321685,68.25,204.75
[KOOK] 36,Creative,1,12.9458213,48.7405795,68.25,119.7
A Casa di Ma,Creative,1,8.833802,42.5790571,94.5,183.75
Orto by Jorg Giubbani,Modern Cuisine,1,9.463802,44.2523709,65.1,89.25
La Signoria,Modern Cuisine,1,8.7507502,42.5638369,96.6,204.75
Kuppelrain,Modern Cuisine,1,10.9017598,46.628306,40.95,136.5
Nido del Picchio,Modern Cuisine,1,9.7938551,44.9124124,63.0,100.8
La Degustation Bohême Bourgeoise,Modern Cuisine,1,14.4251059,50.0910323,39.9,39.9
Field,Modern Cuisine,1,14.4219362,50.0917095,27.3,27.3
Haubentaucher,International,1,11.7663967,47.695312,73.5,105.0
Gourmetrestaurant Dichter,French Contemporary,1,11.7539333,47.6941388,144.9,228.9
Christian's Restaurant - Gasthof Grainer,Classic Cuisine,1,12.1983234,48.1766862,68.25,131.25
Oswald's Gourmetstube,Modern French,1,13.0298887,49.0133802,82.95,162.75
Sedicesimo Secolo,Creative,1,10.0084067,45.3992432,63.0,96.6
Impronta d'Acqua,Creative,1,9.3735,44.29669,54.6,126.0
Buchner Welchenberg 1658,Modern Cuisine,1,12.77564100124954,48.87646085,58.8,156.45
Gasthaus Jakob,Classic Cuisine,1,12.8252254,48.9671897,61.95,93.45
Due Colombe,Modern Cuisine,1,10.0171005,45.6210092,69.3,105.0
Schwingshackl ESSKULTUR Gourmet,Classic French,1,11.5490327,47.7644364,78.75,131.25
Das Marktrestaurant,Country cooking,1,11.26064947422481,47.4388735,44.1,115.5
La Palta,Creative,1,9.443461,45.014362,63.0,89.25
Leos by Stephan Brandl,Creative,1,12.87179920561375,49.18149265,69.3,141.75
LoRo,Creative,1,9.833004732449332,45.6939763,63.0,131.25
Umberto De Martino,Mediterranean Cuisine,1,9.80474925,45.6941548,68.25,110.25
Il Saraceno,Modern Cuisine,1,9.7616399,45.625097,31.5,126.0
Acquarello,Mediterranean Cuisine,1,11.6140458,48.1421796,57.75,194.25
Gabelspiel,Modern Cuisine,1,11.5776912,48.1136163,141.75,152.25
Showroom,Creative,1,11.5877717,48.1311928,136.5,168.0
Schwarzreiter,Modern Cuisine,1,11.5819647,48.1391684,89.25,194.25
TIAN,Vegetarian,1,11.5815134,48.1346623,106.05,131.25
mural,Creative,1,11.5698958,48.1366733,162.75,162.75
Sparkling Bistro,Modern Cuisine,1,11.57867717334217,48.1510346,131.25,162.75
San Martino,Seafood,1,9.5936545,45.5240444,47.25,120.75
Impronte,Modern Cuisine,1,9.6736404,45.7087729,78.75,136.5
Villa Naj,Modern Cuisine,1,9.3006078,45.077545,58.8,84.0
Casual,Creative,1,9.6562198,45.7068643,94.5,152.25
San Giorgio,Seafood,1,8.892814905412301,44.4494579,57.75,99.75
Aubergine,Creative,1,11.35050173668232,48.00187615,103.95,130.2
The Cook,Modern Cuisine,1,8.9333609,44.4085888,57.75,115.5
Osteria degli Assonica,Italian Contemporary,1,9.652877801611123,45.7432296,18.9,86.1
Osteria della Brughiera,Creative,1,9.6275741,45.7379252,89.25,127.05
Frosio,Modern Cuisine,1,9.6154249,45.7398977,73.5,84.0
La Miranda Gourmet Stübli,Modern Cuisine,1,10.3599064,46.9436998,122.1,177.6
Gregor's Fine Dining,Classic Cuisine,1,12.487019,49.343556,124.95,155.4
Camers Schlossrestaurant,Mediterranean Cuisine,1,11.5196043,48.4251987,136.5,157.5
Storstad,Creative,1,12.0966447,49.0200936,51.45,157.5
Aska,Japanese,1,12.0966447,49.0200936,99.75,126.0
Roter Hahn,Modern Cuisine,1,12.09337138409287,49.01881155,37.8,168.0
Vivanda,Creative,1,10.03286121370439,46.65319235,210.9,277.5
"Locanda Vecchia Pavia ""Al Mulino""",Classic Cuisine,1,9.1305316,45.2525457,47.25,94.5
Chesa Stüva Colani,Regional Cuisine,1,9.941039,46.58804,124.32,188.7
Felix Lo Basso home & restaurant,Innovative,1,9.2085396,45.4691952,178.5,178.5
L’Alchimia,Modern Cuisine,1,9.2074584,45.4657963,63.0,99.75
the K by mauro colagreco,French,1,9.8414822,46.4990219,147.63,366.3
Joia,Vegetarian,1,9.2019037,45.4771166,26.25,131.25
Contraste,Modern Cuisine,1,9.0032204,45.4890759,168.0,168.0
Cracco,Modern Cuisine,1,9.1900289,45.4646839,131.25,210.0
Sadler,Creative,1,9.1759843,45.4421744,105.0,168.0
Berton,Creative,1,9.1947573,45.4816883,47.25,157.5
AALTO,Asian Contemporary,1,9.193363236730608,45.4821166,89.25,157.5
Talvo by Dalsass,Mediterranean Cuisine,1,9.81184723594626,46.47842915,74.37,238.65
Viva Viviana Varese,Creative,1,9.187877836082688,45.48056095,76.65,178.5
Pierino Penati,Classic Cuisine,1,9.3235936,45.7258248,42.0,115.5
Tano Passami l'Olio,Creative,1,9.1696048,45.471618,36.75,152.25
Bianca sul Lago by Emanuele Petrosino,Creative,1,9.3512272,45.7941481,94.5,157.5
PAVO im Burghotel Falkenstein,Modern Cuisine,1,10.59194774549485,47.5700084,141.75,147.0
Iyo,Japanese,1,9.1685676,45.482907,73.5,136.5
Innocenti Evasioni,Creative,1,9.172356290785304,45.4612939,60.9,94.5
La Preséf,Creative,1,9.472148058528425,46.16005805,73.5,131.25
JUWEL,Modern French,1,14.4290576837419,51.0958657,147.0,203.7
Claudio,Seafood,1,8.4445065,44.2498277,84.0,147.0
Il Vescovado,Modern Cuisine,1,8.416419,44.2058832,99.75,168.0
Biologie,Modern Cuisine,1,37.6218032216379,55.8339464,23.1,23.1
Sakhalin,Seafood,1,37.5803038069317,55.74622635,33.0,33.0
White Rabbit,Creative,1,37.5805056,55.747224,27.5,27.5
Il Cantuccio,Modern Cuisine,1,9.1884829,45.8031171,56.7,81.9
ESS ATELIER STRAUSS,Classic Cuisine,1,10.278288,47.4083987,82.95,189.0
Selfie,Modern Cuisine,1,37.6054598,55.7471425,27.5,27.5
Beluga,Russian,1,37.75385381097955,55.608741,27.5,27.5
Das Maximilians,Modern French,1,10.2708747,47.4052084,114.45,154.35
Lanterna Verde,Modern Cuisine,1,9.4985427,46.3289588,54.6,105.0
Savva,Russian,1,37.62148,55.7570395,27.5,27.5
La Fermata,Modern Cuisine,1,8.6829041,44.8861753,58.8,88.2
Grand Cru,Modern Cuisine,1,37.75188710441837,55.60910819999999,33.0,33.0
Mistral,Modern Cuisine,1,9.261163373265738,45.98882705,126.0,262.5
I Castagni,Classic Cuisine,1,8.8577775,45.2929095,64.05,94.5
Kilian Stuba,Creative,1,10.17191383602603,47.34941714999999,115.5,147.0
